1,5,5,5,5,5,5,30
2,7,7,7,7,7,7,5
3,1,1,1,1,1,1,29
4,6,12,6,6,6,6,28
5,12,3,12,12,12,12,7
6,3,6,3,3,3,3,27
7,4,4,4,4,4,4,1
8,2,2,2,2,2,2,12
9,11,11,11,11,11,11,3
10,8,8,13,13,13,13,26
11,13,13,8,8,8,22,6
12,22,22,22,22,22,8,20
13,18,18,18,18,18,18,2
14,9,17,9,9,9,9,16
15,17,9,17,17,17,17,21
16,10,10,10,10,10,10,17
17,14,23,15,15,15,15,11
18,15,15,14,14,14,24,8
19,23,24,24,24,24,23,9
20,24,14,23,23,23,14,23
21,19,21,19,19,19,19,4
22,21,19,21,21,21,21,10
23,25,16,25,25,25,25,22
24,16,25,16,16,16,16,15
25,20,20,20,20,20,20,18
26,26,26,26,26,26,26,13
27,27,27,27,27,27,27,24
28,28,28,28,28,28,28,25
29,29,29,29,29,29,29,14
30,30,30,30,30,30,30,19
