Team 1,Team 2,Team 1 Wins,Team 2 Wins
Atlanta Hawks,Boston Celtics,4,2
Atlanta Hawks,Cleveland Cavaliers,0,4
Charlotte Hornets,Miami Heat,3,4
Cleveland Cavaliers,Detroit Pistons,4,0
Cleveland Cavaliers,Golden State Warriors,4,3
Cleveland Cavaliers,Toronto Raptors,4,2
Dallas Mavericks,Oklahoma City Thunder,1,4
Golden State Warriors,Houston Rockets,4,1
Golden State Warriors,Oklahoma City Thunder,4,3
Golden State Warriors,Portland Trail Blazers,4,1
Indiana Pacers,Toronto Raptors,3,4
Los Angeles Clippers,Portland Trail Blazers,2,4
Memphis Grizzlies,San Antonio Spurs,0,4
Miami Heat,Toronto Raptors,3,4
Oklahoma City Thunder,San Antonio Spurs,4,2
