Team 1,Team 2,Team 1 Wins,Team 2 Wins
Atlanta Hawks,Indiana Pacers,3,4
Brooklyn Nets,Miami Heat,1,4
Brooklyn Nets,Toronto Raptors,4,3
Charlotte Bobcats,Miami Heat,0,4
Chicago Bulls,Washington Wizards,1,4
Dallas Mavericks,San Antonio Spurs,3,4
Golden State Warriors,Los Angeles Clippers,3,4
Houston Rockets,Portland Trail Blazers,2,4
Indiana Pacers,Miami Heat,2,4
Indiana Pacers,Washington Wizards,4,2
Los Angeles Clippers,Oklahoma City Thunder,2,4
Memphis Grizzlies,Oklahoma City Thunder,3,4
Miami Heat,San Antonio Spurs,1,4
Oklahoma City Thunder,San Antonio Spurs,2,4
Portland Trail Blazers,San Antonio Spurs,1,4
