Team 1,Team 2,Team 1 Wins,Team 2 Wins
Atlanta Hawks,Boston Celtics,2,1
Atlanta Hawks,Brooklyn Nets,4,0
Atlanta Hawks,Charlotte Hornets,2,2
Atlanta Hawks,Chicago Bulls,2,1
Atlanta Hawks,Cleveland Cavaliers,3,1
Atlanta Hawks,Dallas Mavericks,2,0
Atlanta Hawks,Denver Nuggets,1,1
Atlanta Hawks,Detroit Pistons,3,1
Atlanta Hawks,Golden State Warriors,1,1
Atlanta Hawks,Houston Rockets,2,0
Atlanta Hawks,Indiana Pacers,3,0
Atlanta Hawks,Los Angeles Clippers,2,0
Atlanta Hawks,Los Angeles Lakers,1,1
Atlanta Hawks,Memphis Grizzlies,1,1
Atlanta Hawks,Miami Heat,4,0
Atlanta Hawks,Milwaukee Bucks,3,1
Atlanta Hawks,Minnesota Timberwolves,2,0
Atlanta Hawks,New Orleans Pelicans,1,1
Atlanta Hawks,New York Knicks,2,1
Atlanta Hawks,Oklahoma City Thunder,1,1
Atlanta Hawks,Orlando Magic,3,1
Atlanta Hawks,Philadelphia 76ers,3,1
Atlanta Hawks,Phoenix Suns,2,0
Atlanta Hawks,Portland Trail Blazers,2,0
Atlanta Hawks,Sacramento Kings,2,0
Atlanta Hawks,San Antonio Spurs,0,2
Atlanta Hawks,Toronto Raptors,1,3
Atlanta Hawks,Utah Jazz,2,0
Atlanta Hawks,Washington Wizards,3,1
Boston Celtics,Brooklyn Nets,3,1
Boston Celtics,Charlotte Hornets,2,2
Boston Celtics,Chicago Bulls,1,3
Boston Celtics,Cleveland Cavaliers,2,2
Boston Celtics,Dallas Mavericks,0,2
Boston Celtics,Denver Nuggets,2,0
Boston Celtics,Detroit Pistons,2,1
Boston Celtics,Golden State Warriors,0,2
Boston Celtics,Houston Rockets,0,2
Boston Celtics,Indiana Pacers,3,1
Boston Celtics,Los Angeles Clippers,0,2
Boston Celtics,Los Angeles Lakers,1,1
Boston Celtics,Memphis Grizzlies,1,1
Boston Celtics,Miami Heat,1,3
Boston Celtics,Milwaukee Bucks,1,2
Boston Celtics,Minnesota Timberwolves,1,1
Boston Celtics,New Orleans Pelicans,2,0
Boston Celtics,New York Knicks,3,1
Boston Celtics,Oklahoma City Thunder,0,2
Boston Celtics,Orlando Magic,2,2
Boston Celtics,Philadelphia 76ers,4,0
Boston Celtics,Phoenix Suns,1,1
Boston Celtics,Portland Trail Blazers,1,1
Boston Celtics,Sacramento Kings,1,1
Boston Celtics,San Antonio Spurs,0,2
Boston Celtics,Toronto Raptors,2,2
Boston Celtics,Utah Jazz,2,0
Boston Celtics,Washington Wizards,1,2
Brooklyn Nets,Charlotte Hornets,2,1
Brooklyn Nets,Chicago Bulls,1,3
Brooklyn Nets,Cleveland Cavaliers,1,3
Brooklyn Nets,Dallas Mavericks,1,1
Brooklyn Nets,Denver Nuggets,2,0
Brooklyn Nets,Detroit Pistons,2,1
Brooklyn Nets,Golden State Warriors,1,1
Brooklyn Nets,Houston Rockets,0,2
Brooklyn Nets,Indiana Pacers,2,1
Brooklyn Nets,Los Angeles Clippers,1,1
Brooklyn Nets,Los Angeles Lakers,2,0
Brooklyn Nets,Memphis Grizzlies,0,2
Brooklyn Nets,Miami Heat,0,4
Brooklyn Nets,Milwaukee Bucks,1,3
Brooklyn Nets,Minnesota Timberwolves,1,1
Brooklyn Nets,New Orleans Pelicans,0,2
Brooklyn Nets,New York Knicks,4,0
Brooklyn Nets,Oklahoma City Thunder,2,0
Brooklyn Nets,Orlando Magic,3,0
Brooklyn Nets,Philadelphia 76ers,3,1
Brooklyn Nets,Phoenix Suns,0,2
Brooklyn Nets,Portland Trail Blazers,1,1
Brooklyn Nets,Sacramento Kings,2,0
Brooklyn Nets,San Antonio Spurs,1,1
Brooklyn Nets,Toronto Raptors,2,2
Brooklyn Nets,Utah Jazz,0,2
Brooklyn Nets,Washington Wizards,2,2
Charlotte Hornets,Chicago Bulls,2,2
Charlotte Hornets,Cleveland Cavaliers,0,3
Charlotte Hornets,Dallas Mavericks,0,2
Charlotte Hornets,Denver Nuggets,2,0
Charlotte Hornets,Detroit Pistons,2,2
Charlotte Hornets,Golden State Warriors,0,2
Charlotte Hornets,Houston Rockets,0,2
Charlotte Hornets,Indiana Pacers,1,3
Charlotte Hornets,Los Angeles Clippers,0,2
Charlotte Hornets,Los Angeles Lakers,1,1
Charlotte Hornets,Memphis Grizzlies,0,2
Charlotte Hornets,Miami Heat,2,2
Charlotte Hornets,Milwaukee Bucks,2,1
Charlotte Hornets,Minnesota Timberwolves,2,0
Charlotte Hornets,New Orleans Pelicans,1,1
Charlotte Hornets,New York Knicks,3,1
Charlotte Hornets,Oklahoma City Thunder,0,2
Charlotte Hornets,Orlando Magic,2,2
Charlotte Hornets,Philadelphia 76ers,2,1
Charlotte Hornets,Phoenix Suns,1,1
Charlotte Hornets,Portland Trail Blazers,0,2
Charlotte Hornets,Sacramento Kings,0,2
Charlotte Hornets,San Antonio Spurs,0,2
Charlotte Hornets,Toronto Raptors,2,2
Charlotte Hornets,Utah Jazz,1,1
Charlotte Hornets,Washington Wizards,2,2
Chicago Bulls,Cleveland Cavaliers,1,3
Chicago Bulls,Dallas Mavericks,1,1
Chicago Bulls,Denver Nuggets,1,1
Chicago Bulls,Detroit Pistons,2,2
Chicago Bulls,Golden State Warriors,1,1
Chicago Bulls,Houston Rockets,1,1
Chicago Bulls,Indiana Pacers,2,2
Chicago Bulls,Los Angeles Clippers,1,1
Chicago Bulls,Los Angeles Lakers,1,1
Chicago Bulls,Memphis Grizzlies,1,1
Chicago Bulls,Miami Heat,2,1
Chicago Bulls,Milwaukee Bucks,3,1
Chicago Bulls,Minnesota Timberwolves,2,0
Chicago Bulls,New Orleans Pelicans,2,0
Chicago Bulls,New York Knicks,3,0
Chicago Bulls,Oklahoma City Thunder,1,1
Chicago Bulls,Orlando Magic,2,2
Chicago Bulls,Philadelphia 76ers,3,0
Chicago Bulls,Phoenix Suns,1,1
Chicago Bulls,Portland Trail Blazers,1,1
Chicago Bulls,Sacramento Kings,1,1
Chicago Bulls,San Antonio Spurs,1,1
Chicago Bulls,Toronto Raptors,4,0
Chicago Bulls,Utah Jazz,1,1
Chicago Bulls,Washington Wizards,2,2
Cleveland Cavaliers,Dallas Mavericks,1,1
Cleveland Cavaliers,Denver Nuggets,1,1
Cleveland Cavaliers,Detroit Pistons,3,1
Cleveland Cavaliers,Golden State Warriors,1,1
Cleveland Cavaliers,Houston Rockets,0,2
Cleveland Cavaliers,Indiana Pacers,2,2
Cleveland Cavaliers,Los Angeles Clippers,2,0
Cleveland Cavaliers,Los Angeles Lakers,2,0
Cleveland Cavaliers,Memphis Grizzlies,2,0
Cleveland Cavaliers,Miami Heat,2,2
Cleveland Cavaliers,Milwaukee Bucks,3,1
Cleveland Cavaliers,Minnesota Timberwolves,2,0
Cleveland Cavaliers,New Orleans Pelicans,1,1
Cleveland Cavaliers,New York Knicks,2,1
Cleveland Cavaliers,Oklahoma City Thunder,1,1
Cleveland Cavaliers,Orlando Magic,3,0
Cleveland Cavaliers,Philadelphia 76ers,2,1
Cleveland Cavaliers,Phoenix Suns,1,1
Cleveland Cavaliers,Portland Trail Blazers,1,1
Cleveland Cavaliers,Sacramento Kings,1,1
Cleveland Cavaliers,San Antonio Spurs,1,1
Cleveland Cavaliers,Toronto Raptors,3,1
Cleveland Cavaliers,Utah Jazz,1,1
Cleveland Cavaliers,Washington Wizards,3,1
Dallas Mavericks,Denver Nuggets,2,1
Dallas Mavericks,Detroit Pistons,1,1
Dallas Mavericks,Golden State Warriors,0,4
Dallas Mavericks,Houston Rockets,1,3
Dallas Mavericks,Indiana Pacers,0,2
Dallas Mavericks,Los Angeles Clippers,1,2
Dallas Mavericks,Los Angeles Lakers,4,0
Dallas Mavericks,Memphis Grizzlies,1,3
