Team 1,Team 2,Team 1 Wins,Team 2 Wins
Atlanta Hawks,Brooklyn Nets,4,2
Atlanta Hawks,Cleveland Cavaliers,0,4
Atlanta Hawks,Washington Wizards,4,2
Boston Celtics,Cleveland Cavaliers,0,4
Chicago Bulls,Cleveland Cavaliers,2,4
Chicago Bulls,Milwaukee Bucks,4,2
Cleveland Cavaliers,Golden State Warriors,2,4
Dallas Mavericks,Houston Rockets,1,4
Golden State Warriors,Houston Rockets,4,1
Golden State Warriors,Memphis Grizzlies,4,2
Golden State Warriors,New Orleans Pelicans,4,0
Houston Rockets,Los Angeles Clippers,4,3
Los Angeles Clippers,San Antonio Spurs,4,3
Memphis Grizzlies,Portland Trail Blazers,4,1
Toronto Raptors,Washington Wizards,0,4
