Team 1,Team 2,Team 1 Wins,Team 2 Wins
Atlanta Hawks,Boston Celtics,2,2
Atlanta Hawks,Brooklyn Nets,1,2
Atlanta Hawks,Charlotte Bobcats,3,1
Atlanta Hawks,Chicago Bulls,0,4
Atlanta Hawks,Cleveland Cavaliers,3,0
Atlanta Hawks,Dallas Mavericks,1,1
Atlanta Hawks,Denver Nuggets,1,1
Atlanta Hawks,Detroit Pistons,2,2
Atlanta Hawks,Golden State Warriors,0,2
Atlanta Hawks,Houston Rockets,1,1
Atlanta Hawks,Indiana Pacers,2,2
Atlanta Hawks,Los Angeles Clippers,1,1
Atlanta Hawks,Los Angeles Lakers,1,1
Atlanta Hawks,Memphis Grizzlies,0,2
Atlanta Hawks,Miami Heat,2,2
Atlanta Hawks,Milwaukee Bucks,3,0
Atlanta Hawks,Minnesota Timberwolves,1,1
Atlanta Hawks,New Orleans Pelicans,0,2
Atlanta Hawks,New York Knicks,2,2
Atlanta Hawks,Oklahoma City Thunder,0,2
Atlanta Hawks,Orlando Magic,2,2
Atlanta Hawks,Philadelphia 76ers,3,0
Atlanta Hawks,Phoenix Suns,0,2
Atlanta Hawks,Portland Trail Blazers,0,2
Atlanta Hawks,Sacramento Kings,2,0
Atlanta Hawks,San Antonio Spurs,0,2
Atlanta Hawks,Toronto Raptors,2,2
Atlanta Hawks,Utah Jazz,2,0
Atlanta Hawks,Washington Wizards,1,3
Boston Celtics,Brooklyn Nets,1,3
Boston Celtics,Charlotte Bobcats,2,1
Boston Celtics,Chicago Bulls,0,3
Boston Celtics,Cleveland Cavaliers,3,0
Boston Celtics,Dallas Mavericks,0,2
Boston Celtics,Denver Nuggets,1,1
Boston Celtics,Detroit Pistons,1,3
Boston Celtics,Golden State Warriors,0,2
Boston Celtics,Houston Rockets,0,2
Boston Celtics,Indiana Pacers,0,4
Boston Celtics,Los Angeles Clippers,0,2
Boston Celtics,Los Angeles Lakers,0,2
Boston Celtics,Memphis Grizzlies,0,2
Boston Celtics,Miami Heat,2,1
Boston Celtics,Milwaukee Bucks,2,2
Boston Celtics,Minnesota Timberwolves,1,1
Boston Celtics,New Orleans Pelicans,0,2
Boston Celtics,New York Knicks,2,2
Boston Celtics,Oklahoma City Thunder,0,2
Boston Celtics,Orlando Magic,3,1
Boston Celtics,Philadelphia 76ers,1,3
Boston Celtics,Phoenix Suns,0,2
Boston Celtics,Portland Trail Blazers,0,2
Boston Celtics,Sacramento Kings,1,1
Boston Celtics,San Antonio Spurs,0,2
Boston Celtics,Toronto Raptors,1,3
Boston Celtics,Utah Jazz,1,1
Boston Celtics,Washington Wizards,1,3
Brooklyn Nets,Charlotte Bobcats,2,2
Brooklyn Nets,Chicago Bulls,1,2
Brooklyn Nets,Cleveland Cavaliers,2,2
Brooklyn Nets,Dallas Mavericks,2,0
Brooklyn Nets,Denver Nuggets,1,1
Brooklyn Nets,Detroit Pistons,1,3
Brooklyn Nets,Golden State Warriors,1,1
Brooklyn Nets,Houston Rockets,1,1
Brooklyn Nets,Indiana Pacers,0,4
Brooklyn Nets,Los Angeles Clippers,1,1
Brooklyn Nets,Los Angeles Lakers,1,1
Brooklyn Nets,Memphis Grizzlies,2,0
Brooklyn Nets,Miami Heat,4,0
Brooklyn Nets,Milwaukee Bucks,3,0
Brooklyn Nets,Minnesota Timberwolves,1,1
Brooklyn Nets,New Orleans Pelicans,1,1
Brooklyn Nets,New York Knicks,1,3
Brooklyn Nets,Oklahoma City Thunder,1,1
Brooklyn Nets,Orlando Magic,2,2
Brooklyn Nets,Philadelphia 76ers,3,1
Brooklyn Nets,Phoenix Suns,2,0
Brooklyn Nets,Portland Trail Blazers,0,2
Brooklyn Nets,Sacramento Kings,1,1
Brooklyn Nets,San Antonio Spurs,1,1
