Team 1,Team 2,Team 1 Wins,Team 2 Wins
Atlanta Hawks,Boston Celtics,3,1
Atlanta Hawks,Brooklyn Nets,2,1
Atlanta Hawks,Charlotte Hornets,3,1
Atlanta Hawks,Chicago Bulls,4,0
Atlanta Hawks,Cleveland Cavaliers,0,3
Atlanta Hawks,Dallas Mavericks,2,0
Atlanta Hawks,Denver Nuggets,2,0
Atlanta Hawks,Detroit Pistons,3,1
Atlanta Hawks,Golden State Warriors,0,2
Atlanta Hawks,Houston Rockets,2,0
Atlanta Hawks,Indiana Pacers,2,2
Atlanta Hawks,Los Angeles Clippers,1,1
Atlanta Hawks,Los Angeles Lakers,2,0
Atlanta Hawks,Memphis Grizzlies,2,0
Atlanta Hawks,Miami Heat,1,3
Atlanta Hawks,Milwaukee Bucks,1,2
Atlanta Hawks,Minnesota Timberwolves,0,2
Atlanta Hawks,New Orleans Pelicans,2,0
Atlanta Hawks,New York Knicks,2,2
Atlanta Hawks,Oklahoma City Thunder,1,1
Atlanta Hawks,Orlando Magic,2,2
Atlanta Hawks,Philadelphia 76ers,3,0
Atlanta Hawks,Phoenix Suns,1,1
Atlanta Hawks,Portland Trail Blazers,2,0
Atlanta Hawks,Sacramento Kings,1,1
Atlanta Hawks,San Antonio Spurs,0,2
Atlanta Hawks,Toronto Raptors,1,3
Atlanta Hawks,Utah Jazz,1,1
Atlanta Hawks,Washington Wizards,2,2
Boston Celtics,Brooklyn Nets,2,2
Boston Celtics,Charlotte Hornets,2,1
Boston Celtics,Chicago Bulls,2,1
Boston Celtics,Cleveland Cavaliers,1,2
Boston Celtics,Dallas Mavericks,0,2
Boston Celtics,Denver Nuggets,2,0
Boston Celtics,Detroit Pistons,2,2
Boston Celtics,Golden State Warriors,1,1
Boston Celtics,Houston Rockets,1,1
Boston Celtics,Indiana Pacers,1,3
Boston Celtics,Los Angeles Clippers,1,1
Boston Celtics,Los Angeles Lakers,1,1
Boston Celtics,Memphis Grizzlies,1,1
Boston Celtics,Miami Heat,3,0
Boston Celtics,Milwaukee Bucks,3,1
Boston Celtics,Minnesota Timberwolves,1,1
Boston Celtics,New Orleans Pelicans,2,0
Boston Celtics,New York Knicks,3,1
Boston Celtics,Oklahoma City Thunder,1,1
Boston Celtics,Orlando Magic,2,2
Boston Celtics,Philadelphia 76ers,4,0
Boston Celtics,Phoenix Suns,2,0
Boston Celtics,Portland Trail Blazers,1,1
Boston Celtics,Sacramento Kings,2,0
Boston Celtics,San Antonio Spurs,0,2
Boston Celtics,Toronto Raptors,1,3
Boston Celtics,Utah Jazz,1,1
Boston Celtics,Washington Wizards,4,0
Brooklyn Nets,Charlotte Hornets,0,4
Brooklyn Nets,Chicago Bulls,1,2
Brooklyn Nets,Cleveland Cavaliers,1,3
Brooklyn Nets,Dallas Mavericks,0,2
Brooklyn Nets,Denver Nuggets,2,0
Brooklyn Nets,Detroit Pistons,1,3
Brooklyn Nets,Golden State Warriors,0,2
Brooklyn Nets,Houston Rockets,2,0
Brooklyn Nets,Indiana Pacers,1,3
Brooklyn Nets,Los Angeles Clippers,0,2
Brooklyn Nets,Los Angeles Lakers,0,2
Brooklyn Nets,Memphis Grizzlies,0,2
Brooklyn Nets,Miami Heat,1,3
Brooklyn Nets,Milwaukee Bucks,0,3
Brooklyn Nets,Minnesota Timberwolves,0,2
Brooklyn Nets,New Orleans Pelicans,0,2
Brooklyn Nets,New York Knicks,2,2
Brooklyn Nets,Oklahoma City Thunder,1,1
Brooklyn Nets,Orlando Magic,0,4
Brooklyn Nets,Philadelphia 76ers,2,2
Brooklyn Nets,Phoenix Suns,2,0
Brooklyn Nets,Portland Trail Blazers,0,2
Brooklyn Nets,Sacramento Kings,1,1
Brooklyn Nets,San Antonio Spurs,0,2
Brooklyn Nets,Toronto Raptors,0,4
Brooklyn Nets,Utah Jazz,1,1
Brooklyn Nets,Washington Wizards,0,3
Charlotte Hornets,Chicago Bulls,3,1
Charlotte Hornets,Cleveland Cavaliers,1,3
Charlotte Hornets,Dallas Mavericks,1,1
Charlotte Hornets,Denver Nuggets,0,2
Charlotte Hornets,Detroit Pistons,2,1
Charlotte Hornets,Golden State Warriors,0,2
Charlotte Hornets,Houston Rockets,1,1
Charlotte Hornets,Indiana Pacers,3,0
Charlotte Hornets,Los Angeles Clippers,0,2
Charlotte Hornets,Los Angeles Lakers,2,0
Charlotte Hornets,Memphis Grizzlies,2,0
Charlotte Hornets,Miami Heat,2,2
Charlotte Hornets,Milwaukee Bucks,3,1
Charlotte Hornets,Minnesota Timberwolves,2,0
Charlotte Hornets,New Orleans Pelicans,1,1
Charlotte Hornets,New York Knicks,3,1
Charlotte Hornets,Oklahoma City Thunder,0,2
Charlotte Hornets,Orlando Magic,3,1
Charlotte Hornets,Philadelphia 76ers,4,0
Charlotte Hornets,Phoenix Suns,1,1
Charlotte Hornets,Portland Trail Blazers,1,1
Charlotte Hornets,Sacramento Kings,2,0
Charlotte Hornets,San Antonio Spurs,1,1
Charlotte Hornets,Toronto Raptors,1,2
Charlotte Hornets,Utah Jazz,1,1
Charlotte Hornets,Washington Wizards,2,2
Chicago Bulls,Cleveland Cavaliers,3,1
Chicago Bulls,Dallas Mavericks,0,2
Chicago Bulls,Denver Nuggets,1,1
Chicago Bulls,Detroit Pistons,1,3
Chicago Bulls,Golden State Warriors,0,2
Chicago Bulls,Houston Rockets,2,0
Chicago Bulls,Indiana Pacers,3,1
Chicago Bulls,Los Angeles Clippers,1,1
Chicago Bulls,Los Angeles Lakers,2,0
Chicago Bulls,Memphis Grizzlies,1,1
Chicago Bulls,Miami Heat,0,4
Chicago Bulls,Milwaukee Bucks,3,1
Chicago Bulls,Minnesota Timberwolves,0,2
Chicago Bulls,New Orleans Pelicans,2,0
Chicago Bulls,New York Knicks,1,3
Chicago Bulls,Oklahoma City Thunder,2,0
Chicago Bulls,Orlando Magic,1,2
Chicago Bulls,Philadelphia 76ers,4,0
Chicago Bulls,Phoenix Suns,1,1
Chicago Bulls,Portland Trail Blazers,1,1
Chicago Bulls,Sacramento Kings,2,0
Chicago Bulls,San Antonio Spurs,1,1
Chicago Bulls,Toronto Raptors,4,0
Chicago Bulls,Utah Jazz,1,1
Chicago Bulls,Washington Wizards,1,2
Cleveland Cavaliers,Dallas Mavericks,2,0
Cleveland Cavaliers,Denver Nuggets,2,0
Cleveland Cavaliers,Detroit Pistons,1,3
Cleveland Cavaliers,Golden State Warriors,0,2
Cleveland Cavaliers,Houston Rockets,1,1
Cleveland Cavaliers,Indiana Pacers,3,1
Cleveland Cavaliers,Los Angeles Clippers,2,0
Cleveland Cavaliers,Los Angeles Lakers,2,0
Cleveland Cavaliers,Memphis Grizzlies,1,1
Cleveland Cavaliers,Miami Heat,1,2
Cleveland Cavaliers,Milwaukee Bucks,3,1
Cleveland Cavaliers,Minnesota Timberwolves,2,0
Cleveland Cavaliers,New Orleans Pelicans,1,1
Cleveland Cavaliers,New York Knicks,4,0
Cleveland Cavaliers,Oklahoma City Thunder,2,0
Cleveland Cavaliers,Orlando Magic,4,0
Cleveland Cavaliers,Philadelphia 76ers,4,0
Cleveland Cavaliers,Phoenix Suns,2,0
Cleveland Cavaliers,Portland Trail Blazers,1,1
Cleveland Cavaliers,Sacramento Kings,2,0
Cleveland Cavaliers,San Antonio Spurs,1,1
Cleveland Cavaliers,Toronto Raptors,1,2
Cleveland Cavaliers,Utah Jazz,1,1
Cleveland Cavaliers,Washington Wizards,2,2
Dallas Mavericks,Denver Nuggets,3,1
Dallas Mavericks,Detroit Pistons,1,1
Dallas Mavericks,Golden State Warriors,1,3
Dallas Mavericks,Houston Rockets,2,2
Dallas Mavericks,Indiana Pacers,0,2
Dallas Mavericks,Los Angeles Clippers,1,3
Dallas Mavericks,Los Angeles Lakers,3,0
Dallas Mavericks,Memphis Grizzlies,3,1
Dallas Mavericks,Miami Heat,0,2
Dallas Mavericks,Milwaukee Bucks,1,1
Dallas Mavericks,Minnesota Timberwolves,4,0
Dallas Mavericks,New Orleans Pelicans,2,2
Dallas Mavericks,New York Knicks,2,0
Dallas Mavericks,Oklahoma City Thunder,0,4
Dallas Mavericks,Orlando Magic,1,1
Dallas Mavericks,Philadelphia 76ers,2,0
Dallas Mavericks,Phoenix Suns,3,0
Dallas Mavericks,Portland Trail Blazers,2,1
Dallas Mavericks,Sacramento Kings,1,3
Dallas Mavericks,San Antonio Spurs,0,4
Dallas Mavericks,Toronto Raptors,0,2
Dallas Mavericks,Utah Jazz,2,1
Dallas Mavericks,Washington Wizards,1,1
Denver Nuggets,Detroit Pistons,2,0
Denver Nuggets,Golden State Warriors,1,3
Denver Nuggets,Houston Rockets,3,0
Denver Nuggets,Indiana Pacers,1,1
Denver Nuggets,Los Angeles Clippers,1,2
Denver Nuggets,Los Angeles Lakers,3,1
Denver Nuggets,Memphis Grizzlies,1,3
Denver Nuggets,Miami Heat,0,2
Denver Nuggets,Milwaukee Bucks,1,1
Denver Nuggets,Minnesota Timberwolves,3,1
Denver Nuggets,New Orleans Pelicans,1,2
Denver Nuggets,New York Knicks,2,0
Denver Nuggets,Oklahoma City Thunder,0,4
Denver Nuggets,Orlando Magic,0,2
Denver Nuggets,Philadelphia 76ers,2,0
Denver Nuggets,Phoenix Suns,2,2
Denver Nuggets,Portland Trail Blazers,1,3
Denver Nuggets,Sacramento Kings,0,3
Denver Nuggets,San Antonio Spurs,1,3
Denver Nuggets,Toronto Raptors,2,0
Denver Nuggets,Utah Jazz,0,4
Denver Nuggets,Washington Wizards,2,0
Detroit Pistons,Golden State Warriors,1,1
Detroit Pistons,Houston Rockets,2,0
Detroit Pistons,Indiana Pacers,1,3
Detroit Pistons,Los Angeles Clippers,0,2
Detroit Pistons,Los Angeles Lakers,1,1
Detroit Pistons,Memphis Grizzlies,0,2
Detroit Pistons,Miami Heat,2,2
Detroit Pistons,Milwaukee Bucks,3,1
Detroit Pistons,Minnesota Timberwolves,2,0
Detroit Pistons,New Orleans Pelicans,0,2
Detroit Pistons,New York Knicks,1,2
Detroit Pistons,Oklahoma City Thunder,1,1
Detroit Pistons,Orlando Magic,3,0
Detroit Pistons,Philadelphia 76ers,4,0
Detroit Pistons,Phoenix Suns,2,0
Detroit Pistons,Portland Trail Blazers,2,0
Detroit Pistons,Sacramento Kings,1,1
Detroit Pistons,San Antonio Spurs,0,2
Detroit Pistons,Toronto Raptors,1,2
Detroit Pistons,Utah Jazz,2,0
Detroit Pistons,Washington Wizards,1,3
Golden State Warriors,Houston Rockets,3,0
Golden State Warriors,Indiana Pacers,2,0
Golden State Warriors,Los Angeles Clippers,4,0
Golden State Warriors,Los Angeles Lakers,3,1
Golden State Warriors,Memphis Grizzlies,4,0
Golden State Warriors,Miami Heat,2,0
Golden State Warriors,Milwaukee Bucks,1,1
Golden State Warriors,Minnesota Timberwolves,2,1
Golden State Warriors,New Orleans Pelicans,3,0
Golden State Warriors,New York Knicks,2,0
Golden State Warriors,Oklahoma City Thunder,3,0
Golden State Warriors,Orlando Magic,2,0
Golden State Warriors,Philadelphia 76ers,2,0
Golden State Warriors,Phoenix Suns,4,0
Golden State Warriors,Portland Trail Blazers,3,1
Golden State Warriors,Sacramento Kings,4,0
Golden State Warriors,San Antonio Spurs,3,1
Golden State Warriors,Toronto Raptors,2,0
Golden State Warriors,Utah Jazz,4,0
Golden State Warriors,Washington Wizards,2,0
Houston Rockets,Indiana Pacers,1,1
Houston Rockets,Los Angeles Clippers,2,2
Houston Rockets,Los Angeles Lakers,4,0
Houston Rockets,Memphis Grizzlies,2,2
Houston Rockets,Miami Heat,1,1
Houston Rockets,Milwaukee Bucks,1,1
Houston Rockets,Minnesota Timberwolves,3,0
Houston Rockets,New Orleans Pelicans,3,1
Houston Rockets,New York Knicks,1,1
Houston Rockets,Oklahoma City Thunder,2,2
Houston Rockets,Orlando Magic,1,1
Houston Rockets,Philadelphia 76ers,2,0
Houston Rockets,Phoenix Suns,2,1
Houston Rockets,Portland Trail Blazers,2,2
Houston Rockets,Sacramento Kings,3,1
Houston Rockets,San Antonio Spurs,1,3
Houston Rockets,Toronto Raptors,2,0
Houston Rockets,Utah Jazz,2,2
Houston Rockets,Washington Wizards,1,1
Indiana Pacers,Los Angeles Clippers,1,1
Indiana Pacers,Los Angeles Lakers,2,0
Indiana Pacers,Memphis Grizzlies,0,2
Indiana Pacers,Miami Heat,2,2
Indiana Pacers,Milwaukee Bucks,3,1
Indiana Pacers,Minnesota Timberwolves,2,0
Indiana Pacers,New Orleans Pelicans,2,0
Indiana Pacers,New York Knicks,3,0
Indiana Pacers,Oklahoma City Thunder,1,1
Indiana Pacers,Orlando Magic,3,1
Indiana Pacers,Philadelphia 76ers,3,0
Indiana Pacers,Phoenix Suns,2,0
Indiana Pacers,Portland Trail Blazers,0,2
Indiana Pacers,Sacramento Kings,0,2
Indiana Pacers,San Antonio Spurs,1,1
Indiana Pacers,Toronto Raptors,1,3
Indiana Pacers,Utah Jazz,0,2
Indiana Pacers,Washington Wizards,2,1
Los Angeles Clippers,Los Angeles Lakers,4,0
Los Angeles Clippers,Memphis Grizzlies,2,1
Los Angeles Clippers,Miami Heat,2,0
Los Angeles Clippers,Milwaukee Bucks,2,0
Los Angeles Clippers,Minnesota Timberwolves,3,1
Los Angeles Clippers,New Orleans Pelicans,3,1
Los Angeles Clippers,New York Knicks,2,0
Los Angeles Clippers,Oklahoma City Thunder,1,3
Los Angeles Clippers,Orlando Magic,2,0
Los Angeles Clippers,Philadelphia 76ers,2,0
Los Angeles Clippers,Phoenix Suns,2,2
Los Angeles Clippers,Portland Trail Blazers,3,1
Los Angeles Clippers,Sacramento Kings,3,1
Los Angeles Clippers,San Antonio Spurs,1,2
Los Angeles Clippers,Toronto Raptors,0,2
Los Angeles Clippers,Utah Jazz,2,1
Los Angeles Clippers,Washington Wizards,2,0
Los Angeles Lakers,Memphis Grizzlies,1,3
Los Angeles Lakers,Miami Heat,1,1
Los Angeles Lakers,Milwaukee Bucks,1,1
Los Angeles Lakers,Minnesota Timberwolves,1,2
Los Angeles Lakers,New Orleans Pelicans,2,1
Los Angeles Lakers,New York Knicks,0,2
Los Angeles Lakers,Oklahoma City Thunder,0,4
Los Angeles Lakers,Orlando Magic,1,1
Los Angeles Lakers,Philadelphia 76ers,1,1
Los Angeles Lakers,Phoenix Suns,1,3
Los Angeles Lakers,Portland Trail Blazers,0,3
Los Angeles Lakers,Sacramento Kings,0,4
Los Angeles Lakers,San Antonio Spurs,0,4
Los Angeles Lakers,Toronto Raptors,0,2
Los Angeles Lakers,Utah Jazz,1,3
Los Angeles Lakers,Washington Wizards,1,1
Memphis Grizzlies,Miami Heat,1,1
Memphis Grizzlies,Milwaukee Bucks,1,1
Memphis Grizzlies,Minnesota Timberwolves,2,2
Memphis Grizzlies,New Orleans Pelicans,4,0
Memphis Grizzlies,New York Knicks,2,0
Memphis Grizzlies,Oklahoma City Thunder,1,2
Memphis Grizzlies,Orlando Magic,1,1
Memphis Grizzlies,Philadelphia 76ers,2,0
Memphis Grizzlies,Phoenix Suns,2,2
Memphis Grizzlies,Portland Trail Blazers,2,2
Memphis Grizzlies,Sacramento Kings,3,0
Memphis Grizzlies,San Antonio Spurs,0,4
Memphis Grizzlies,Toronto Raptors,0,2
Memphis Grizzlies,Utah Jazz,1,2
Memphis Grizzlies,Washington Wizards,1,1
Miami Heat,Milwaukee Bucks,1,2
Miami Heat,Minnesota Timberwolves,1,1
Miami Heat,New Orleans Pelicans,2,0
Miami Heat,New York Knicks,3,1
Miami Heat,Oklahoma City Thunder,1,1
Miami Heat,Orlando Magic,3,1
Miami Heat,Philadelphia 76ers,3,0
Miami Heat,Phoenix Suns,2,0
Miami Heat,Portland Trail Blazers,1,1
Miami Heat,Sacramento Kings,2,0
Miami Heat,San Antonio Spurs,0,2
Miami Heat,Toronto Raptors,1,3
Miami Heat,Utah Jazz,1,1
Miami Heat,Washington Wizards,2,2
Milwaukee Bucks,Minnesota Timberwolves,2,0
Milwaukee Bucks,New Orleans Pelicans,1,1
Milwaukee Bucks,New York Knicks,2,2
Milwaukee Bucks,Oklahoma City Thunder,0,2
Milwaukee Bucks,Orlando Magic,2,2
Milwaukee Bucks,Philadelphia 76ers,3,0
Milwaukee Bucks,Phoenix Suns,2,0
Milwaukee Bucks,Portland Trail Blazers,1,1
Milwaukee Bucks,Sacramento Kings,0,2
Milwaukee Bucks,San Antonio Spurs,0,2
Milwaukee Bucks,Toronto Raptors,0,4
Milwaukee Bucks,Utah Jazz,0,2
Milwaukee Bucks,Washington Wizards,1,3
Minnesota Timberwolves,New Orleans Pelicans,2,2
Minnesota Timberwolves,New York Knicks,0,2
Minnesota Timberwolves,Oklahoma City Thunder,1,3
